Standard Drug Name	ID	Gene(s)	Source(s)	Source Drug Name	Show Drug Name	Family(ies)	Status	Pathology	Cancer(s)	target	marker
TYRPHOSTIN AG 1296	2049.0	FLT3	CIViC	AG1296	TYRPHOSTIN AG 1296	Other	EXPERIMENTAL	-	-		FLT3
L-2-AMINO-4-METHOXY-CIS-BUT-3-ENOIC ACID	5287671.0	MAT1A	DrugBank	L-2-AMINO-4-METHOXY-CIS-BUT-3-ENOIC ACID	L-2-AMINO-4-METHOXY-CIS-BUT-3-ENOIC ACID	Other	EXPERIMENTAL	-	-	MAT1A	
TG7-171	91827368.0	PTGER2	GuideToPharmacologyInteractions	TG7-171	TG7-171	Other	EXPERIMENTAL	-	-		PTGER2
2',3'-DIDEOXYADENOSINE	20039.0	CGB5	NCI	DIDEOXYADENOSINE	2',3'-DIDEOXYADENOSINE	Other	EXPERIMENTAL	-	-		CGB5
BIMATOPROST	5311027.0	PTGER3|PTGFR|AKR1C3|PTGER1	DrugBank	BIMATOPROST	BIMATOPROST	prostanoid receptor agonist(Cmap)	APPROVED	Ophthalmology	-	PTGER3|PTGFR|AKR1C3|PTGER1	
FINAFLOXACIN	11567473.0	TOP2A	DrugBank	FINAFLOXACIN	FINAFLOXACIN	bacterial DNA gyrase inhibitor(Cmap)	APPROVED	Immunology/Infectious disease | Otolaryngology	-	TOP2A	
FOSBRETABULIN TROMETHAMINE	10186184.0	TUBA3E|TUBA3D|TUBA4A|TUBB2A|TUBB2B|TUBB|TUBB4B|TUBB8|TUBA1B|TUBA1A|TUBA1C|TUBB3|TUBB6|TUBB1	ChemblInteractions	FOSBRETABULIN TROMETHAMINE	FOSBRETABULIN TROMETHAMINE	Other	CLINICAL_TRIALS	-	CANCER		TUBA3E|TUBA3D|TUBA4A|TUBB2A|TUBB2B|TUBB|TUBB4B|TUBB8|TUBA1B|TUBA1A|TUBA1C|TUBB3|TUBB6|TUBB1
MIDODRINE	4195.0	ADRA1B|ADRA1A	TEND	MIDODRINE	MIDODRINE	Rhodopsin family_Agonist(KEGG), adrenergic receptor agonist(Cmap)	APPROVED	Cardiology/Vascular disease	-	ADRA1B|ADRA1A	
CANDOXATRILAT	443380.0	MME	DrugBank	CANDOXATRILAT	CANDOXATRILAT	Hydrolases_Inhibitor(KEGG)	EXPERIMENTAL	-	-	MME	
VINDESINE	40839.0	TUBB1	DrugBank	VINDESINE	VINDESINE	Other_Polymerization inhibitor(KEGG), tubulin polymerization inhibitor(Cmap)	CLINICAL_TRIALS	-	CANCER	TUBB1	
NARATRIPTAN	4440.0	HTR1D|HTR1F|HTR1A|HTR1B|HTR1E	TEND	NARATRIPTAN	NARATRIPTAN	Rhodopsin family_Agonist(KEGG), serotonin receptor agonist(Cmap)	APPROVED	Neurology | Pain management	-	HTR1D|HTR1F|HTR1B	HTR1A|HTR1E
CUTAMESINE	9907323.0	SIGMAR1	TdgClinicalTrial	SA4503	CUTAMESINE	sigma receptor agonist(Cmap)	CLINICAL_TRIALS	-	-		SIGMAR1
RS 67333	183782.0	NAT1	GuideToPharmacologyInteractions	RS 67333	RS 67333	Other	EXPERIMENTAL	-	-		NAT1
MYCOPHENOLATE MOFETIL	5281078.0	IMPDH2|IL15|EPO|IMPDH1|SLCO1B3|PRTN3	TdgClinicalTrial	MYCOPHENOLATE MOFETIL	MYCOPHENOLATE MOFETIL	Oxidoreductases_Inhibitor(KEGG)	APPROVED	Immunology/Infectious disease	CLINICAL CANCER	IMPDH2|IMPDH1	IL15|EPO|SLCO1B3|PRTN3
RIBOSE 1-PHOSPHATE	439236.0	PNP	DrugBank	RIBOSE-1-PHOSPHATE	RIBOSE 1-PHOSPHATE	Other	EXPERIMENTAL	-	-	PNP	
STEARIC ACID	5281.0	PLA2G2D	DrugBank	STEARIC ACID	STEARIC ACID	Other	EXPERIMENTAL	-	-	PLA2G2D	
L-765314	6603904.0	ADRA1B	GuideToPharmacologyInteractions	L-765314	L-765314	Other	EXPERIMENTAL	-	-		ADRA1B
131513-18-3	5689.0	CNR1	GuideToPharmacologyInteractions	[3H]WIN55212-2	131513-18-3	Other	EXPERIMENTAL	-	-		CNR1
DICYCLOMINE HYDROCHLORIDE	441344.0	CHRM3|CHRM1	ChemblInteractions	DICYCLOMINE HYDROCHLORIDE	DICYCLOMINE HYDROCHLORIDE	Rhodopsin family_Antagonist(KEGG)	APPROVED	Gastroenterology	-		CHRM3|CHRM1
MOEXIPRIL	91270.0	ACE	TdgClinicalTrial	MOEXIPRIL	MOEXIPRIL	Hydrolases_Inhibitor(KEGG), angiotensin converting enzyme inhibitor(Cmap)	APPROVED	Cardiology/Vascular disease	-	ACE	
RU78783	447537.0	SRC	DrugBank	RU78783	RU78783	Other	EXPERIMENTAL	-	-	SRC	
473727-83-2	9865554.0	CXCR2|CXCR1|MADCAM1	TTD	SCH-527123	473727-83-2	Other	CLINICAL_TRIALS	-	-	CXCR2|CXCR1|MADCAM1	
BETA-NALTREXOL	5486554.0	OPRM1	TdgClinicalTrial	AIKO-150	BETA-NALTREXOL	Other	CLINICAL_TRIALS	-	-		OPRM1
D-SERINE	71077.0	GLRA1|GRIN1|GRIN2B|GRIN2A|GRIN2C|SERPINB3	DrugBank	D-SERINE	D-SERINE	glutamate receptor agonist(Cmap)	CLINICAL_TRIALS	-	-	GLRA1|GRIN1|SERPINB3	GRIN2B|GRIN2A|GRIN2C
FR 180204	11493598.0	MAPK1|BRAF	DrugBank	5-(2-PHENYLPYRAZOLO[1,5-A]PYRIDIN-3-YL)-1H-PYRAZOLO[3,4-C]PYRIDAZIN-3-AMINE	FR 180204	Other	EXPERIMENTAL	-	-	MAPK1	BRAF
STAVUDINE	18283.0	TNFRSF1B|DTYMK|CXCL10|CSF2|CYP2B6	NCI	STAVUDINE	STAVUDINE	DNA directed DNA polymerase inhibitor(Cmap), nucleoside reverse transcriptase inhibitor(Cmap)	APPROVED	Immunology/Infectious disease	-		TNFRSF1B|DTYMK|CXCL10|CSF2|CYP2B6
CHEMBL222501	135461982.0	ESR1|NCOA2	DrugBank	4-[1-ALLYL-7-(TRIFLUOROMETHYL)-1H-INDAZOL-3-YL]BENZENE-1,3-DIOL	CHEMBL222501	Other	EXPERIMENTAL	-	-	ESR1|NCOA2	
OXPRENOATE	3034004.0	NR3C2	GuideToPharmacologyInteractions	RU28318	OXPRENOATE	Other	EXPERIMENTAL	-	-		NR3C2
GMC 2-83	10026300.0	DRD5|DRD2|HTR2A	TTD	GMC-283	GMC 2-83	Other	EXPERIMENTAL	-	-	DRD5|DRD2|HTR2A	
DIPHENYLENEIODONIUM CHLORIDE	2733504.0	GPR3	GuideToPharmacologyInteractions	DIPHENYLENEIODONIUM CHLORIDE	DIPHENYLENEIODONIUM CHLORIDE	Other	EXPERIMENTAL	-	-		GPR3
SULFISOXAZOLE	5344.0	NR1I2|G6PD	PharmGKB	SULFISOXAZOLE	SULFISOXAZOLE	Other	WITHDRAWN	-	-		NR1I2|G6PD
NAQUOTINIB	71667668.0	EGFR	GuideToPharmacologyInteractions	NAQUOTINIB	NAQUOTINIB	Other	CLINICAL_TRIALS	-	CANCER		EGFR
CEP-37440	71721648.0	ALK|PTK2	ChemblInteractions	CEP-37440	CEP-37440	ALK tyrosine kinase receptor inhibitor(Cmap)	CLINICAL_TRIALS	-	CANCER		ALK|PTK2
IODIPAMIDE	3739.0	ALB	TTD	IODIPAMIDE	IODIPAMIDE	radiopaque medium(Cmap)	APPROVED	Diagnostic agent	-	ALB	
FILOREXANT	25128145.0	HCRTR1	GuideToPharmacologyInteractions	FILOREXANT	FILOREXANT	Rhodopsin family_Antagonist(KEGG)	CLINICAL_TRIALS	-	-		HCRTR1
HYDROCORTISONE SODIUM PHOSPHATE	441406.0	NR3C1	ChemblInteractions	HYDROCORTISONE SODIUM PHOSPHATE	HYDROCORTISONE SODIUM PHOSPHATE	Estrogen like receptors_Agonist(KEGG)	WITHDRAWN	-	-		NR3C1
176977-56-3	5311257.0	CNR1	GuideToPharmacologyInteractions	LY320135	176977-56-3	Other	EXPERIMENTAL	-	-		CNR1
METOCURINE	21233.0	CHRM2|CHRNA2	DrugBank	METOCURINE	METOCURINE	acetylcholine receptor antagonist(Cmap)	WITHDRAWN	-	-	CHRM2|CHRNA2	
3-CARBAMOYL-5-(4-PHENYLPHENYL)BENZOIC ACID	5287459.0	DHODH	DrugBank	5-(AMINOCARBONYL)-1,1':4',1''-TERPHENYL-3-CARBOXYLICACID	3-CARBAMOYL-5-(4-PHENYLPHENYL)BENZOIC ACID	Other	EXPERIMENTAL	-	-	DHODH	
RS-100235	5311416.0	NAT1	GuideToPharmacologyInteractions	RS 100235	RS-100235	Other	EXPERIMENTAL	-	-		NAT1
RITA	374536.0	ACVR2B|ADAM22|ADAM29|ADAMTS19|ATP10A|ATR|BAD|BAK1|BCL2A1|BRCA1|BRIP1|BTRC|CARD11|CASC5|CDC42BPG|CDC7|CDH11|CDK11A|CDK18|CDKL5|CHEK1|CIC|CLPTM1L|CNTRL|CTDSPL|CTSL1|CYP3A4|DAB1|DICER1|DLL1|EML4|EPHA5|FANCM|FBXW7|FOXO1|GRIN2A|GRK7|HERC2|HNF1A|HORMAD1|IL6ST|IRAK4|JAK2|LAMA1|LATS1|LIFR|LRP1|LRRC7|LRRK2|LYN|MAP2K4|MAP3K4|MAPKAPK2|MKRN3|MLLT4|MRE11A|MYCN|MYH1|MYH11|NFATC1|NUDT10|PEAK1|PIK3CD|PIK3R1|PPARA|PPP3CA|PRKDC|PRKG1|PSEN2|PTK7|PTPN11|RPS6KB1|SERPINB1|SETDB1|SOCS3|SOX11|STAT5A|STK31|STK32A|TEC|TGFBR1|TMPO|TNF|TNFRSF11B|TNFRSF4|TTBK2|ULK1|VDAC1|WHSC1L1|ZFYVE9	CTRP	RITA	RITA	MDM inhibitor(Cmap)	EXPERIMENTAL	-	-		ACVR2B|ADAM22|ADAM29|ADAMTS19|ATP10A|ATR|BAD|BAK1|BCL2A1|BRCA1|BRIP1|BTRC|CARD11|CASC5|CDC42BPG|CDC7|CDH11|CDK11A|CDK18|CDKL5|CHEK1|CIC|CLPTM1L|CNTRL|CTDSPL|CTSL1|CYP3A4|DAB1|DICER1|DLL1|EML4|EPHA5|FANCM|FBXW7|FOXO1|GRIN2A|GRK7|HERC2|HNF1A|HORMAD1|IL6ST|IRAK4|JAK2|LAMA1|LATS1|LIFR|LRP1|LRRC7|LRRK2|LYN|MAP2K4|MAP3K4|MAPKAPK2|MKRN3|MLLT4|MRE11A|MYCN|MYH1|MYH11|NFATC1|NUDT10|PEAK1|PIK3CD|PIK3R1|PPARA|PPP3CA|PRKDC|PRKG1|PSEN2|PTK7|PTPN11|RPS6KB1|SERPINB1|SETDB1|SOCS3|SOX11|STAT5A|STK31|STK32A|TEC|TGFBR1|TMPO|TNF|TNFRSF11B|TNFRSF4|TTBK2|ULK1|VDAC1|WHSC1L1|ZFYVE9
FOSTAMATINIB	11671467.0	SYK|RB1	MyCancerGenome	FOSTAMATINIB	FOSTAMATINIB	Tyrosine protein kinases_inhibitor(KEGG), SYK inhibitor(Cmap)	CLINICAL_TRIALS	-	CANCER	SYK	RB1
BOSENTAN	104865.0	NR1I2|EDNRA|SLCO1B1|EDNRB	PharmGKB	BOSENTAN	BOSENTAN	Rhodopsin family_Antagonist(KEGG), endothelin receptor antagonist(Cmap)	APPROVED	Pulmonary/Respiratory disease | Cardiology/Vascular disease	CLINICAL CANCER	EDNRA|EDNRB	NR1I2|SLCO1B1
LY 367385	5311261.0	GRM1	GuideToPharmacologyInteractions	LY367385	LY 367385	Other	EXPERIMENTAL	-	-		GRM1
LORATADINE	3957.0	HRH1|TAC1|KCNH2|KCNA5|SLC6A15|CCL17|MPO	TTD	LORATADINE	LORATADINE	Rhodopsin family_Antagonist(KEGG), histamine receptor antagonist(Cmap)	APPROVED	Immunology/Infectious disease	-	HRH1	TAC1|KCNH2|KCNA5|SLC6A15|CCL17|MPO
FOSPHENYTOIN SODIUM	56338.0	SCN3A|SCN2A|SCN1A|SCN9A|SCN7A|SCN5A|SCN10A|SCN11A|SCN8A|SCN4A	ChemblInteractions	FOSPHENYTOIN SODIUM	FOSPHENYTOIN SODIUM	Voltage-gated cation channels_Blocker(KEGG)	APPROVED	Neurology	-		SCN3A|SCN2A|SCN1A|SCN9A|SCN7A|SCN5A|SCN10A|SCN11A|SCN8A|SCN4A
P-BENZOQUINONE	4650.0	ABCB1|TRPA1|DDIT3|MAPK1	NCI	QUINONE	P-BENZOQUINONE	Other	EXPERIMENTAL	-	-		ABCB1|TRPA1|DDIT3|MAPK1
CHEMBL597557	46233650.0	F9	GuideToPharmacologyInteractions	COMPOUND 57 [PMID: 20121197]	CHEMBL597557	Other	EXPERIMENTAL	-	-		F9
DANSYLAMIDE	65077.0	CA2	DrugBank	DANSYLAMIDE	DANSYLAMIDE	Other	EXPERIMENTAL	-	-	CA2	
PD 166285	9916391.0	PDGFRB|EGFR|FGFR1|SRC	ChemblInteractions	PD-0166285	PD 166285	Other	EXPERIMENTAL	-	-		PDGFRB|EGFR|FGFR1|SRC
DESOXYCORTICOSTERONE PIVALATE	11876263.0	NR3C2	DrugBank	DESOXYCORTICOSTERONE PIVALATE	DESOXYCORTICOSTERONE PIVALATE	Estrogen like receptors_Agonist(KEGG)	WITHDRAWN	-	-	NR3C2	
GLYCOCYAMINE	763.0	GAMT	DrugBank	N-[AMINO(IMINO)METHYL]GLYCINE	GLYCOCYAMINE	Other	CLINICAL_TRIALS	-	-	GAMT	
CHEMBL488638	11637190.0	SLC6A3|SLC6A2|SLC6A4	TdgClinicalTrial	DOV 102,677	CHEMBL488638	Other	EXPERIMENTAL	-	-		SLC6A3|SLC6A2|SLC6A4
NNC 269100	5311371.0	SSTR4	GuideToPharmacologyInteractions	NNC269100	NNC 269100	Other	EXPERIMENTAL	-	-		SSTR4
FASIDOTRIL	5311337.0	MME|ACE	GuideToPharmacologyInteractions	FASIDOTRIL	FASIDOTRIL	Other	EXPERIMENTAL	-	-		MME|ACE
3-(1H-INDOL-3-YL)-4-{1-[2-(1-METHYLPYRROLIDIN-2-YL)ETHYL]-1H-INDOL-3-YL}-1H-PYRROLE-2,5-DIONE	448642.0	PRKACA	DrugBank	3-(1H-INDOL-3-YL)-4-{1-[2-(1-METHYLPYRROLIDIN-2-YL)ETHYL]-1H-INDOL-3-YL}-1H-PYRROLE-2,5-DIONE	3-(1H-INDOL-3-YL)-4-{1-[2-(1-METHYLPYRROLIDIN-2-YL)ETHYL]-1H-INDOL-3-YL}-1H-PYRROLE-2,5-DIONE	Other	EXPERIMENTAL	-	-	PRKACA	
PELITINIB	6445562.0	ERBB4|EGFR|MET|ERBB2|SUN1	MyCancerGenome	PELITINIB	PELITINIB	Receptor tyrosine kinase_Inhibitor(KEGG), EGFR inhibitor(Cmap)	CLINICAL_TRIALS	-	CANCER	ERBB4|EGFR|ERBB2	MET|SUN1
DOPAMINE	681.0	DRD3|DRD5|DRD1|ADRB1|DRD4|DRD2	GuideToPharmacologyInteractions	DOPAMINE	DOPAMINE	Rhodopsin family_Agonist(KEGG), dopamine receptor agonist(Cmap)	APPROVED	Cardiology/Vascular disease	CLINICAL CANCER	DRD2	DRD3|DRD5|DRD1|ADRB1|DRD4
PHENYLAMINOIMIDAZO(1,2-ALPHA)PYRIDINE	5330608.0	CDK2	DrugBank	PHENYLAMINOIMIDAZO(1,2-ALPHA)PYRIDINE	PHENYLAMINOIMIDAZO(1,2-ALPHA)PYRIDINE	Other	EXPERIMENTAL	-	-	CDK2	
S15535	132787.0	HTR1A	GuideToPharmacologyInteractions	S-15535	S15535	Other	EXPERIMENTAL	-	-		HTR1A
CLOPIDOGREL	60606.0	P2RY12|CYP2C19|CYP1A2|CES1|CYP2B6	TTD	CLOPIDOGREL	CLOPIDOGREL	Rhodopsin family_Antagonist(KEGG), purinergic receptor antagonist(Cmap)	APPROVED	Cardiology/Vascular disease	CLINICAL CANCER	P2RY12	CYP2C19|CYP1A2|CES1|CYP2B6
(R)-(-)-ROLIPRAM	448055.0	PDE4B|PDE4D	DrugBank	(R)-ROLIPRAM	(R)-(-)-ROLIPRAM	Other	EXPERIMENTAL	-	-	PDE4B|PDE4D	
ELECLAZINE	71183216.0	SCN5A	GuideToPharmacologyInteractions	ELECLAZINE	ELECLAZINE	Other	CLINICAL_TRIALS	-	-		SCN5A
MERIOLIN 3	23727981.0	CCNA2|CDK2	DrugBank	4-(4-METHOXY-1H-PYRROLO[2,3-B]PYRIDIN-3-YL)PYRIMIDIN-2-AMINE	MERIOLIN 3	Other	EXPERIMENTAL	-	-	CCNA2|CDK2	
CHEMBL221735	10156987.0	CHEK1	DrugBank	3-(5-{[4-(AMINOMETHYL)PIPERIDIN-1-YL]METHYL}-1H-INDOL-2-YL)QUINOLIN-2(1H)-ONE	CHEMBL221735	Other	EXPERIMENTAL	-	-	CHEK1	
MERIOLIN 5	23727982.0	CCNA2|CDK2	DrugBank	4-(4-PROPOXY-1H-PYRROLO[2,3-B]PYRIDIN-3-YL)PYRIMIDIN-2-AMINE	MERIOLIN 5	Other	EXPERIMENTAL	-	-	CCNA2|CDK2	
RPR208815	445480.0	F10	DrugBank	THIENO[3,2-B]PYRIDINE-2-SULFONIC ACID [1-(1-AMINO-ISOQUINOLIN-7-YLMETHYL)-2-OXO-PYRROLDIN-3-YL]-AMIDE	RPR208815	Other	EXPERIMENTAL	-	-	F10	
PAROXETINE	43815.0	HTR1A|HTR1B|ABCB1|SBF2|ADM|HTR2A|CYP1A2|SLC6A4|CYP2D6	PharmGKB	PAROXETINE	PAROXETINE	Solute carrier family_Inhibitor(KEGG), selective serotonin reuptake inhibitor (SSRI)(Cmap)	APPROVED	Endocrinology | Obstetrics/Gynecology | Psychiatry/Psychology	-	SLC6A4	HTR1A|HTR1B|ABCB1|SBF2|ADM|HTR2A|CYP1A2|CYP2D6
ROCURONIUM	441290.0	CHRM2|CHRNA2|HTR3A	TEND	ROCURONIUM	ROCURONIUM	acetylcholine receptor antagonist(Cmap)	APPROVED	Musculoskeletal	-	CHRM2|CHRNA2	HTR3A
NALOXONE	5284596.0	OPRD1|PRL|OPRM1|ADCYAP1R1|OPRK1|CRH|BDNF|NTF3|ANPEP|RARA|GRP	GuideToPharmacologyInteractions	NALOXONE	NALOXONE	Rhodopsin family_Antagonist(KEGG), opioid receptor antagonist(Cmap)	APPROVED	Pharmacology/Toxicology | Psychiatry/Psychology | Pain management	-	OPRD1|OPRM1	PRL|ADCYAP1R1|OPRK1|CRH|BDNF|NTF3|ANPEP|RARA|GRP
ALISKIREN HEMIFUMARATE	6918427.0	REN	ChemblInteractions	ALISKIREN FUMARATE	ALISKIREN HEMIFUMARATE	Other	APPROVED	Cardiology/Vascular disease	-		REN
3-{[(2,2-DIOXIDO-1,3-DIHYDRO-2-BENZOTHIEN-5-YL)AMINO]METHYLENE}-5-(1,3-OXAZOL-5-YL)-1,3-DIHYDRO-2H-INDOL-2-ONE	4477130.0	CDK2	DrugBank	3-{[(2,2-DIOXIDO-1,3-DIHYDRO-2-BENZOTHIEN-5-YL)AMINO]METHYLENE}-5-(1,3-OXAZOL-5-YL)-1,3-DIHYDRO-2H-INDOL-2-ONE	3-{[(2,2-DIOXIDO-1,3-DIHYDRO-2-BENZOTHIEN-5-YL)AMINO]METHYLENE}-5-(1,3-OXAZOL-5-YL)-1,3-DIHYDRO-2H-INDOL-2-ONE	Other	EXPERIMENTAL	-	-	CDK2	
4-DAMP	3014059.0	CHRM3|CHRM2|CHRM4|CHRM1|CHRM5	GuideToPharmacologyInteractions	4-DAMP	4-DAMP	cholinergic receptor antagonist(Cmap)	EXPERIMENTAL	-	-		CHRM3|CHRM2|CHRM4|CHRM1|CHRM5
SB 228357	443390.0	HTR2B|HTR2A|HTR2C	GuideToPharmacologyInteractions	SB 228357	SB 228357	Other	EXPERIMENTAL	-	-		HTR2B|HTR2A|HTR2C
