drug	repurpose	origin	min_check
SULINDAC	BLCA	Pain management | Musculoskeletal	0
DECITABINE	BLCA	Hematology	0
OLAPARIB	BLCA	Oncology	0
RUCAPARIB	BLCA	Oncology	0
NIRAPARIB	BLCA	Oncology	0
ENALAPRIL	BLCA	Cardiology/Vascular disease	0
FLUDARABINE PHOSPHATE	BLCA	Oncology	1
CLADRIBINE	BLCA	Oncology	0
CLOFARABINE	BLCA	Oncology	1
FLUDARABINE	BLCA	Oncology	0
HYDROXYUREA	BLCA	Hematology | Oncology	0
GEMCITABINE HYDROCHLORIDE	BLCA	Oncology	1
NETARSUDIL	BLCA	Ophthalmology	0
ETOPOSIDE	BLCA	Oncology	0
VITAMIN E	BLCA	Nutraceutical	0
TRIFLUOPERAZINE	BLCA	Psychiatry/Psychology	0
DAUNORUBICIN	BLCA	Oncology	0
IDARUBICIN	BLCA	Oncology	0
ALECTINIB	BLCA	Oncology	0
TOPOTECAN	BLCA	Oncology	0
ANASTROZOLE	BLCA	Oncology	0
LETROZOLE	BLCA	Oncology	0
TEMOZOLOMIDE	BLCA	Oncology	0
ADO-TRASTUZUMAB EMTANSINE	BLCA	Oncology	0
IXABEPILONE	BLCA	Oncology	0
INSULIN HUMAN	BLCA	Endocrinology	0
CAPSAICIN	BLCA	Immunology/Infectious disease | Neurology | Pain management	0
FLUTAMIDE	BLCA	Oncology	0
FULVESTRANT	BLCA	Oncology	0
CABOZANTINIB	BLCA	Oncology	0
BICALUTAMIDE	BLCA	Oncology	0
MELPHALAN	BLCA	Oncology	0
AFATINIB DIMALEATE	BLCA	Oncology	0
AZD-9291 MESYLATE	BLCA	Oncology	0
LAPATINIB	BLCA	Oncology	0
PRAMLINTIDE	BLCA	Endocrinology	0
SUNITINIB	BLCA	Oncology	0
PIOGLITAZONE HYDROCHLORIDE	BLCA	Endocrinology	0
ROSIGLITAZONE MALEATE	BLCA	Endocrinology	0
EPIRUBICIN	BLCA	Oncology	0
UREA	BLCA	Dermatology/Plastic surgery	0
METHYLPREDNISOLONE	BLCA	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
IFOSFAMIDE	BLCA	Oncology	0
MILTEFOSINE	BLCA	Immunology/Infectious disease	0
NERATINIB	BLCA	Oncology	0
FLOXURIDINE	BLCA	Oncology	0
PERTUZUMAB	BLCA	Oncology	0
GANCICLOVIR	BLCA	Immunology/Infectious disease	0
NINTEDANIB ESYLATE	BLCA	Pulmonary/Respiratory disease	0
RAMUCIRUMAB	BLCA	Oncology	0
ITRACONAZOLE	BLCA	Immunology/Infectious disease	0
PEGAPTANIB	BLCA	Ophthalmology	1
NECITUMUMAB	BLCA	Oncology	0
LAPATINIB DITOSYLATE	BLCA	Oncology	0
5-AMINOLEVULINIC ACID	BLCA	Dermatology/Plastic surgery	0
ASPARAGINASE	BLCA	Oncology	0
ENZALUTAMIDE	BLCA	Oncology	0
ABIRATERONE	BLCA	Oncology	0
TRABECTEDIN	BLCA	Oncology	0
ZINC CHLORIDE	BLCA	Nutraceutical	0
TRIFLURIDINE	BLCA	Immunology/Infectious disease | Ophthalmology	0
PEGADEMASE BOVINE	BLCA	Immunology/Infectious disease	0
EDARAVONE	BLCA	Musculoskeletal	0
DIMETHYL FUMARATE	BLCA	Neurology	1
LOVASTATIN ACID	BLCA	Cardiology/Vascular disease	0
IRINOTECAN	BRCA	Oncology	0
MIDOSTAURIN	BRCA	Oncology	0
CARBOPLATIN	BRCA	Oncology	0
RETINOIC ACID	BRCA	Dermatology/Plastic surgery | Oncology	0
VINCRISTINE	BRCA	Oncology	0
CYTARABINE	BRCA	Oncology	0
STREPTOZOCIN	BRCA	Oncology	0
IDELALISIB	BRCA	Oncology	0
COPANLISIB	BRCA	Oncology	0
RAPAMYCIN	BRCA	Immunology/Infectious disease | Nephrology/Urology	0
TEMSIROLIMUS	BRCA	Oncology	0
METFORMIN	BRCA	Endocrinology	0
PAZOPANIB	BRCA	Oncology	0
5-FLUOROURACIL	BRCA	Oncology | Dermatology/Plastic surgery	0
6-MERCAPTOPURINE	BRCA	Oncology	0
OXALIPLATIN	BRCA	Oncology	0
VINORELBINE	BRCA	Oncology	0
BEVACIZUMAB	BRCA	Oncology	0
GEMCITABINE	BRCA	Oncology	0
PEMETREXED	BRCA	Oncology	0
CELECOXIB	BRCA	Pain management	0
DASATINIB	BRCA	Oncology	0
REGORAFENIB	BRCA	Oncology	0
VANDETANIB	BRCA	Oncology	0
DOXORUBICIN	BRCA	Oncology	0
RISPERIDONE	BRCA	Psychiatry/Psychology	0
CETUXIMAB	BRCA	Oncology	0
RITUXIMAB	BRCA	Oncology	0
HALOPERIDOL	BRCA	Psychiatry/Psychology	0
PROGESTERONE	BRCA	Endocrinology | Obstetrics/Gynecology	0
PONATINIB	BRCA	Oncology	0
ACALABRUTINIB	BRCA	Oncology	0
IBRUTINIB	BRCA	Oncology	0
VORINOSTAT	BRCA	Oncology	0
BELINOSTAT	BRCA	Oncology	0
PANOBINOSTAT	BRCA	Oncology	0
ROMIDEPSIN	BRCA	Oncology	0
IXAZOMIB CITRATE	BRCA	Oncology	0
BORTEZOMIB	BRCA	Oncology	0
CARFILZOMIB	BRCA	Oncology	0
FILGRASTIM	BRCA	Hematology | Oncology	0
ERLOTINIB HYDROCHLORIDE	BRCA	Oncology	0
ISOPROTERENOL	BRCA	Pulmonary/Respiratory disease	0
PROPYLTHIOURACIL	BRCA	Endocrinology	0
ARSENIC TRIOXIDE	BRCA	Oncology	0
PEMBROLIZUMAB	BRCA	Oncology	0
DEXAMETHASONE	BRCA	Ophthalmology	0
MITOMYCIN C	BRCA	Oncology	0
CHLORAMBUCIL	BRCA	Oncology	0
TRAMETINIB	BRCA	Oncology	0
COBIMETINIB	BRCA	Oncology	0
PANITUMUMAB	BRCA	Oncology	0
SORAFENIB	BRCA	Oncology	0
VEMURAFENIB	BRCA	Oncology	0
AZD-9291	BRCA	Oncology	0
GEFITINIB	BRCA	Oncology	0
DABRAFENIB	BRCA	Oncology	0
AFATINIB	BRCA	Oncology	0
RALOXIFENE	BRCA	Musculoskeletal | Oncology	0
TARENFLURBIL	BRCA	Pain management | Musculoskeletal	0
ABT-199	BRCA	Oncology	0
HYDROCORTISONE	BRCA	Dermatology/Plastic surgery	0
METHIMAZOLE	BRCA	Endocrinology	0
PREDNISOLONE	BRCA	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
IMATINIB	BRCA	Oncology	0
CRIZOTINIB	BRCA	Oncology	0
DEHYDROEPIANDROSTERONE	BRCA	Obstetrics/Gynecology	0
NILOTINIB	BRCA	Oncology	0
ERLOTINIB	BRCA	Oncology	0
URSODEOXYCHOLIC ACID	BRCA	Gastroenterology	0
LENALIDOMIDE	BRCA	Oncology	0
SULINDAC	BRCA	Pain management | Musculoskeletal	0
DECITABINE	BRCA	Hematology	0
NIRAPARIB	BRCA	Oncology	0
ENALAPRIL	BRCA	Cardiology/Vascular disease	0
METHACHOLINE CHLORIDE	BRCA	Diagnostic agent	0
FLUDARABINE PHOSPHATE	BRCA	Oncology	0
CLADRIBINE	BRCA	Oncology	1
CLOFARABINE	BRCA	Oncology	0
FLUDARABINE	BRCA	Oncology	1
NETARSUDIL	BRCA	Ophthalmology	0
ETOPOSIDE	BRCA	Oncology	0
VITAMIN E	BRCA	Nutraceutical	0
TRIFLUOPERAZINE	BRCA	Psychiatry/Psychology	0
DAUNORUBICIN	BRCA	Oncology	0
IDARUBICIN	BRCA	Oncology	0
BRIGATINIB	BRCA	Oncology	0
TOPOTECAN	BRCA	Oncology	0
DURVALUMAB	BRCA	Oncology	0
NIVOLUMAB	BRCA	Oncology	0
TEMOZOLOMIDE	BRCA	Oncology	0
INSULIN HUMAN	BRCA	Endocrinology	0
CAPSAICIN	BRCA	Immunology/Infectious disease | Neurology | Pain management	0
CABOZANTINIB	BRCA	Oncology	0
BICALUTAMIDE	BRCA	Oncology	0
AFATINIB DIMALEATE	BRCA	Oncology	0
AZD-9291 MESYLATE	BRCA	Oncology	0
PRAMLINTIDE	BRCA	Endocrinology	0
SUNITINIB	BRCA	Oncology	0
METHYLPREDNISOLONE	BRCA	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
IFOSFAMIDE	BRCA	Oncology	0
MILTEFOSINE	BRCA	Immunology/Infectious disease	0
FLOXURIDINE	BRCA	Oncology	0
GANCICLOVIR	BRCA	Immunology/Infectious disease	0
RAMUCIRUMAB	BRCA	Oncology	0
ITRACONAZOLE	BRCA	Immunology/Infectious disease	0
PEMETREXED DISODIUM	BRCA	Oncology	0
NELFINAVIR	BRCA	Immunology/Infectious disease	0
NECITUMUMAB	BRCA	Oncology	0
VISMODEGIB	BRCA	Oncology	0
DABRAFENIB MESYLATE	BRCA	Oncology	0
5-AMINOLEVULINIC ACID	BRCA	Dermatology/Plastic surgery	1
ASPARAGINASE	BRCA	Oncology	0
ENZALUTAMIDE	BRCA	Oncology	0
ABIRATERONE	BRCA	Oncology	0
TRABECTEDIN	BRCA	Oncology	0
TRIHEXYPHENIDYL	BRCA	Neurology	0
CYCLOPENTOLATE	BRCA	Ophthalmology	0
TROSPIUM	BRCA	Nephrology/Urology	0
TRIHEXYPHENIDYL HYDROCHLORIDE	BRCA	Neurology	0
DENOSUMAB	BRCA	Musculoskeletal | Oncology	0
INSULIN GLARGINE	BRCA	Endocrinology	1
MECASERMIN	BRCA	Endocrinology	1
ATOVAQUONE	BRCA	Immunology/Infectious disease	0
ZINC CHLORIDE	BRCA	Nutraceutical	0
TRIFLURIDINE	BRCA	Immunology/Infectious disease | Ophthalmology	0
PEGADEMASE BOVINE	BRCA	Immunology/Infectious disease	0
EDARAVONE	BRCA	Musculoskeletal	0
DIMETHYL FUMARATE	BRCA	Neurology	0
LOVASTATIN ACID	BRCA	Cardiology/Vascular disease	0
IRINOTECAN	CESC	Oncology	0
ETHANOL	CESC	Neurology	0
MIDOSTAURIN	CESC	Oncology	0
CARBOPLATIN	CESC	Oncology	0
RETINOIC ACID	CESC	Dermatology/Plastic surgery | Oncology	0
VINCRISTINE	CESC	Oncology	0
CYTARABINE	CESC	Oncology	0
STREPTOZOCIN	CESC	Oncology	0
IDELALISIB	CESC	Oncology	0
COPANLISIB	CESC	Oncology	0
RAPAMYCIN	CESC	Immunology/Infectious disease | Nephrology/Urology	0
EVEROLIMUS	CESC	Immunology/Infectious disease | Nephrology/Urology | Oncology	0
TEMSIROLIMUS	CESC	Oncology	0
METFORMIN	CESC	Endocrinology	0
PAZOPANIB	CESC	Oncology	0
5-FLUOROURACIL	CESC	Oncology | Dermatology/Plastic surgery	0
6-MERCAPTOPURINE	CESC	Oncology	0
OXALIPLATIN	CESC	Oncology	0
PHENYTOIN	CESC	Neurology	0
VINORELBINE	CESC	Oncology	0
PACLITAXEL	CESC	Oncology	0
CYCLOPHOSPHAMIDE	CESC	Oncology | Nephrology/Urology	0
DOCETAXEL	CESC	Oncology	0
GEMCITABINE	CESC	Oncology	0
PEMETREXED	CESC	Oncology	0
L-ASCORBIC ACID	CESC	Nutraceutical	0
LITHIUM	CESC	Psychiatry/Psychology	0
CARBAMAZEPINE	CESC	Neurology | Psychiatry/Psychology	0
DASATINIB	CESC	Oncology	0
REGORAFENIB	CESC	Oncology	0
VANDETANIB	CESC	Oncology	0
DOXORUBICIN	CESC	Oncology	0
BROMOCRIPTINE	CESC	Endocrinology | Neurology	0
RISPERIDONE	CESC	Psychiatry/Psychology	0
GLYCEROL	CESC	Gastroenterology	0
INDOMETHACIN	CESC	Pain management | Musculoskeletal	0
CYCLOSPORIN A	CESC	Immunology/Infectious disease | Ophthalmology	0
CETUXIMAB	CESC	Oncology	0
TRASTUZUMAB	CESC	Oncology	0
RITUXIMAB	CESC	Oncology	0
HALOPERIDOL	CESC	Psychiatry/Psychology	0
PROGESTERONE	CESC	Endocrinology | Obstetrics/Gynecology	0
PONATINIB	CESC	Oncology	0
ACALABRUTINIB	CESC	Oncology	0
IBRUTINIB	CESC	Oncology	0
VORINOSTAT	CESC	Oncology	0
BELINOSTAT	CESC	Oncology	0
PANOBINOSTAT	CESC	Oncology	0
ROMIDEPSIN	CESC	Oncology	0
BORTEZOMIB	CESC	Oncology	0
FILGRASTIM	CESC	Hematology | Oncology	0
RUXOLITINIB	CESC	Oncology	0
ROSIGLITAZONE	CESC	Endocrinology	0
ERLOTINIB HYDROCHLORIDE	CESC	Oncology	0
ISOPROTERENOL	CESC	Pulmonary/Respiratory disease	0
THALIDOMIDE	CESC	Dermatology/Plastic surgery | Oncology	0
PROPYLTHIOURACIL	CESC	Endocrinology	0
ARSENIC TRIOXIDE	CESC	Oncology	0
DEXAMETHASONE	CESC	Ophthalmology	0
MITOMYCIN C	CESC	Oncology	0
CAPECITABINE	CESC	Oncology	0
CHLORAMBUCIL	CESC	Oncology	0
METHOTREXATE	CESC	Oncology | Dermatology/Plastic surgery | Musculoskeletal	0
RIBOCICLIB	CESC	Oncology	0
TRAMETINIB	CESC	Oncology	0
COBIMETINIB	CESC	Oncology	0
ATEZOLIZUMAB	CESC	Oncology	0
PANITUMUMAB	CESC	Oncology	0
SORAFENIB	CESC	Oncology	0
VEMURAFENIB	CESC	Oncology	0
PALBOCICLIB	CESC	Oncology	0
AZD-9291	CESC	Oncology	0
GEFITINIB	CESC	Oncology	0
DABRAFENIB	CESC	Oncology	0
AFATINIB	CESC	Oncology	0
ABEMACICLIB	CESC	Oncology	0
RALOXIFENE	CESC	Musculoskeletal | Oncology	0
TARENFLURBIL	CESC	Pain management | Musculoskeletal	0
ABT-199	CESC	Oncology	0
HYDROCORTISONE	CESC	Dermatology/Plastic surgery	0
SIMVASTATIN	CESC	Hematology	0
METHIMAZOLE	CESC	Endocrinology	0
PREDNISOLONE	CESC	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
TAMOXIFEN	CESC	Oncology	0
EXEMESTANE	CESC	Oncology	0
IMATINIB	CESC	Oncology	0
CRIZOTINIB	CESC	Oncology	0
DEHYDROEPIANDROSTERONE	CESC	Obstetrics/Gynecology	0
NILOTINIB	CESC	Oncology	0
ERLOTINIB	CESC	Oncology	0
URSODEOXYCHOLIC ACID	CESC	Gastroenterology	0
LENALIDOMIDE	CESC	Oncology	0
SULINDAC	CESC	Pain management | Musculoskeletal	0
DECITABINE	CESC	Hematology	0
OLAPARIB	CESC	Oncology	0
RUCAPARIB	CESC	Oncology	0
NIRAPARIB	CESC	Oncology	0
ENALAPRIL	CESC	Cardiology/Vascular disease	0
NETARSUDIL	CESC	Ophthalmology	0
ETOPOSIDE	CESC	Oncology	0
ERISMODEGIB	CESC	Oncology	0
VITAMIN E	CESC	Nutraceutical	0
TRIFLUOPERAZINE	CESC	Psychiatry/Psychology	0
DAUNORUBICIN	CESC	Oncology	0
IDARUBICIN	CESC	Oncology	0
ALECTINIB	CESC	Oncology	0
BRIGATINIB	CESC	Oncology	1
DURVALUMAB	CESC	Oncology	0
NIVOLUMAB	CESC	Oncology	0
ANASTROZOLE	CESC	Oncology	0
LETROZOLE	CESC	Oncology	0
TEMOZOLOMIDE	CESC	Oncology	0
ADO-TRASTUZUMAB EMTANSINE	CESC	Oncology	0
IXABEPILONE	CESC	Oncology	0
OXCARBAZEPINE	CESC	Neurology	0
INSULIN HUMAN	CESC	Endocrinology	0
CAPSAICIN	CESC	Immunology/Infectious disease | Neurology | Pain management	0
FLUTAMIDE	CESC	Oncology	0
FULVESTRANT	CESC	Oncology	0
CABOZANTINIB	CESC	Oncology	0
BICALUTAMIDE	CESC	Oncology	0
AFATINIB DIMALEATE	CESC	Oncology	0
AZD-9291 MESYLATE	CESC	Oncology	0
LAPATINIB	CESC	Oncology	0
PRAMLINTIDE	CESC	Endocrinology	0
BUMETANIDE	CESC	Cardiology/Vascular disease	0
SUNITINIB	CESC	Oncology	0
PIOGLITAZONE HYDROCHLORIDE	CESC	Endocrinology	0
ROSIGLITAZONE MALEATE	CESC	Endocrinology	0
EPIRUBICIN	CESC	Oncology	0
LEVODOPA	CESC	Neurology	0
METHYLPREDNISOLONE	CESC	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
IFOSFAMIDE	CESC	Oncology	0
MILTEFOSINE	CESC	Immunology/Infectious disease	0
NERATINIB	CESC	Oncology	0
FLOXURIDINE	CESC	Oncology	0
PERTUZUMAB	CESC	Oncology	0
GANCICLOVIR	CESC	Immunology/Infectious disease	0
RAMUCIRUMAB	CESC	Oncology	0
ITRACONAZOLE	CESC	Immunology/Infectious disease	0
NELFINAVIR	CESC	Immunology/Infectious disease	0
ABACAVIR	CESC	Immunology/Infectious disease	0
PEGAPTANIB	CESC	Ophthalmology	1
NECITUMUMAB	CESC	Oncology	0
LAPATINIB DITOSYLATE	CESC	Oncology	0
THIOTEPA	CESC	Immunology/Infectious disease | Oncology	0
MIGLUSTAT	CESC	Storage disease	0
ELIGLUSTAT TARTRATE	CESC	Storage disease	0
5-AMINOLEVULINIC ACID	CESC	Dermatology/Plastic surgery	1
ASPARAGINASE	CESC	Oncology	0
ENZALUTAMIDE	CESC	Oncology	0
ABIRATERONE	CESC	Oncology	0
TRABECTEDIN	CESC	Oncology	0
TRIHEXYPHENIDYL	CESC	Neurology	0
CYCLOPENTOLATE	CESC	Ophthalmology	0
TROSPIUM	CESC	Nephrology/Urology	0
TRIHEXYPHENIDYL HYDROCHLORIDE	CESC	Neurology	0
MECASERMIN	CESC	Endocrinology	1
ZINC CHLORIDE	CESC	Nutraceutical	0
TRIFLURIDINE	CESC	Immunology/Infectious disease | Ophthalmology	0
PEGADEMASE BOVINE	CESC	Immunology/Infectious disease	0
EDARAVONE	CESC	Musculoskeletal	0
DIMETHYL FUMARATE	CESC	Neurology	0
LOVASTATIN ACID	CESC	Cardiology/Vascular disease	0
MIDOSTAURIN	COADREAD	Oncology	0
CARBOPLATIN	COADREAD	Oncology	0
RETINOIC ACID	COADREAD	Dermatology/Plastic surgery | Oncology	0
VINCRISTINE	COADREAD	Oncology	0
CYTARABINE	COADREAD	Oncology	0
STREPTOZOCIN	COADREAD	Oncology	0
IDELALISIB	COADREAD	Oncology	0
COPANLISIB	COADREAD	Oncology	0
PIMECROLIMUS	COADREAD	Dermatology/Plastic surgery	1
RAPAMYCIN	COADREAD	Immunology/Infectious disease | Nephrology/Urology	0
EVEROLIMUS	COADREAD	Immunology/Infectious disease | Nephrology/Urology | Oncology	0
TEMSIROLIMUS	COADREAD	Oncology	0
METFORMIN	COADREAD	Endocrinology	0
PAZOPANIB	COADREAD	Oncology	0
5-FLUOROURACIL	COADREAD	Oncology | Dermatology/Plastic surgery	0
VINORELBINE	COADREAD	Oncology	0
PACLITAXEL	COADREAD	Oncology	0
CYCLOPHOSPHAMIDE	COADREAD	Oncology | Nephrology/Urology	0
DOCETAXEL	COADREAD	Oncology	0
CISPLATIN	COADREAD	Oncology	0
GEMCITABINE	COADREAD	Oncology	0
PEMETREXED	COADREAD	Oncology	0
CELECOXIB	COADREAD	Pain management	0
DASATINIB	COADREAD	Oncology	0
VANDETANIB	COADREAD	Oncology	0
DOXORUBICIN	COADREAD	Oncology	0
EFLORNITHINE	COADREAD	Dermatology/Plastic surgery	0
TRASTUZUMAB	COADREAD	Oncology	0
RITUXIMAB	COADREAD	Oncology	0
HALOPERIDOL	COADREAD	Psychiatry/Psychology	0
PROGESTERONE	COADREAD	Endocrinology | Obstetrics/Gynecology	0
PONATINIB	COADREAD	Oncology	0
IBRUTINIB	COADREAD	Oncology	0
VORINOSTAT	COADREAD	Oncology	0
BELINOSTAT	COADREAD	Oncology	0
PANOBINOSTAT	COADREAD	Oncology	0
ROMIDEPSIN	COADREAD	Oncology	0
BORTEZOMIB	COADREAD	Oncology	0
RUXOLITINIB	COADREAD	Oncology	0
ERLOTINIB HYDROCHLORIDE	COADREAD	Oncology	0
IBUPROFEN	COADREAD	Pain management	0
PROPYLTHIOURACIL	COADREAD	Endocrinology	0
AXITINIB	COADREAD	Oncology	0
RIBOCICLIB	COADREAD	Oncology	0
TRAMETINIB	COADREAD	Oncology	0
COBIMETINIB	COADREAD	Oncology	0
ATEZOLIZUMAB	COADREAD	Oncology	0
SORAFENIB	COADREAD	Oncology	0
VEMURAFENIB	COADREAD	Oncology	0
LENVATINIB	COADREAD	Oncology	0
PALBOCICLIB	COADREAD	Oncology	0
AZD-9291	COADREAD	Oncology	0
GEFITINIB	COADREAD	Oncology	0
DABRAFENIB	COADREAD	Oncology	0
AFATINIB	COADREAD	Oncology	0
ABEMACICLIB	COADREAD	Oncology	0
RALOXIFENE	COADREAD	Musculoskeletal | Oncology	0
TARENFLURBIL	COADREAD	Pain management | Musculoskeletal	0
ABT-199	COADREAD	Oncology	0
HYDROCORTISONE	COADREAD	Dermatology/Plastic surgery	0
METHIMAZOLE	COADREAD	Endocrinology	0
TAMOXIFEN	COADREAD	Oncology	0
IMATINIB	COADREAD	Oncology	0
CRIZOTINIB	COADREAD	Oncology	0
DEHYDROEPIANDROSTERONE	COADREAD	Obstetrics/Gynecology	0
NILOTINIB	COADREAD	Oncology	0
ERLOTINIB	COADREAD	Oncology	0
URSODEOXYCHOLIC ACID	COADREAD	Gastroenterology	0
LENALIDOMIDE	COADREAD	Oncology	0
SULINDAC	COADREAD	Pain management | Musculoskeletal	0
DECITABINE	COADREAD	Hematology	0
OLAPARIB	COADREAD	Oncology	0
RUCAPARIB	COADREAD	Oncology	0
NIRAPARIB	COADREAD	Oncology	0
ENALAPRIL	COADREAD	Cardiology/Vascular disease	0
NETARSUDIL	COADREAD	Ophthalmology	0
ETOPOSIDE	COADREAD	Oncology	0
TRIFLUOPERAZINE	COADREAD	Psychiatry/Psychology	0
DAUNORUBICIN	COADREAD	Oncology	0
IDARUBICIN	COADREAD	Oncology	0
ALECTINIB	COADREAD	Oncology	0
BRIGATINIB	COADREAD	Oncology	1
TOPOTECAN	COADREAD	Oncology	0
